,review
0,"I had a Dinner with friends in there. Its more lunch restaurant than Dinner place. No sake or spirits.Waitress was a bit lost.Food set (spicy japanese) was OK And Ok value. Sushi was disappointment And a little bit expensive. Eatable, but not the place to go for a dinner"
1,"We had the cheapest room located on the second floor and had a view of the pool / beach. The room was very clean, functional and we have nothing to complain about. The breakfast buffet was comprehensive, again the dinner buffet didn't really contain what we wanted. The smaller pool is quieter (near which our room was located), the larger one again has more families with children. Conveniently located and close by there is a 24 hour shop, a minute walk to the beach and the hotel staff is very helpful. It is not advisable to use the hotel laundry, but take your clothes to the laundry across the road, where the cleaning price is 70THB / kilo (incl. Ironing)."
2,"We had the cheapest AC room booked and it was just working. Great view of the beach, comfortable bed and functional toilet. The room rate included a 2-hour kayak rental and a 2-hour snorkelling equipment rental. However, we were here during the off-season so we got to use the snorkeling gear until we left the Resort. The beach is absolutely gorgeous and quiet, and with a little snorkeling you can find some great corals. If you want to go kayaking, I recommend going to Paradise Beach (where you can also walk) where you will find a magnificent sandy beach. The resort is a 5-10 minute walk to the other side of the island where you will find all the expensive hotels and congested beaches. Our resort was so good and we had a great time in Koh Nga that we ended up taking 3 extra nights in addition to 4 nights. I can't help but recommend!"
3,"The location of Rassada Place is contemporary among the locals, meaning no shops etc are really close by but about a 30 - 60 min walk away. This is a great place to stay if you leave the next day, for example from Rassada Pier elsewhere. The room is very clean and has everything you need. Breakfast was a slice of bread so I wouldn’t trust it. The toilets are shared between some rooms, but for example we had our own toilet in connection with our room which was also used by someone from the second floor. When we stayed here there were no other guests at all, so we got free use of the restroom."
4,Nice cottage with everything you need (we had the cheapest with AC) in a good location. One minute walk to the beach with good restaurants and hangouts. Next to the hotel was a ski resort where you can rent a scooter for 250THB / day. For as you leave you drive south to find absolutely stunning beats! Near the hotel (about 7 min walk to the beach) is 7-11.
5,"Not a special place, lots of tourists and sees things but this time you have to pay for it. The beach was dirty and the water cloudy, lots of debris floating (in April). The monkeys meant to open the backpack and knock out the stuff from there but luckily the other tourists rushed them away."
6,"It was nice to walk through the rainforest, although it was a bit awkward in places but not in any way difficult for two people in normal condition. However, I recommend taking sneakers with you and not slippers. A nice, small waterfall was waiting for me at the destination, where at least in April it didn't come terribly. There was a bit of cooling and swimming in the water. You should head here in the morning so there is not much crowd!"
7,"Generally I like Subway. Quality is the same like in McDonalds and you know what you will receive.I must say, that there is thousand better place to eat in Bangkok, but I wanted to have my sub - and i got it.I prefer: Sesami-Tuna-SouthwestBeen there teen times and will be there again."
8,"Great facade and great hotel, maybe a little too big, but everything worked just fine on the last one, even though it was only one night in that place, yes I think it was worth a visit to try that place"
9,"Well, the night came to be tested on a holiday trip, not quite what beer I thought, ie Luxury, but everything worked great and there was a nice staff, That what I said wasn't exactly what I expected doesn't mean anything was wrong. I recommend"
10,"Located in Soi Lemke right next to Soi Buakhao, this little hidden gemstone is the tastiest I've ever eaten, if you like it I recommend it"
11,"Good and clean beach. During high tide, the sandy beach becomes quite small. Near the beach a few restaurants and shops."
12,"Here was a good beach for swimming and sunbathing. You should come here earlier in the morning to get some good places on the beach. Later in the day, the beach was often quite congested."
13,"Mainly long tail boats on the beach. I do not recommend the beach for swimming. Lots of debris on the beach, etc. A few kilometers away there are already better beaches."
14,"The restaurant is very close to our hotel, so you had to visit here several times during your stay. The food was good but not the cheapest place of all. A family of four went for money on both sides of a thousand baht per meal."
15,"We were on a trip with my family in January 2017. Rooms are spacious and clean. Pool area nice. Staff friendly. The minibar has pretty cheap prices, so the threshold for having a cold drink, for example, is not high. The Rawai area is a relatively quiet tourist area, making it an ok place for families overall. The nearby beach is not very strange, but a free ride from the hotel to a better beach every day."
16,"We had a Dinner menu (7courses) with My friend. At ten (10) I was ready to sleep. Its fine dining, you must pay - but it is Good... uuuh. I'm so full."
17,"Excellent drinks, music and great service! The employees also suggested taking a picture of me and my boyfriend at sukset and it turned out perfect. 10/10 would recommend!"
18,"Huge rooms, if you need space and are used to it, this is your choice. Nice on the side from the worst hustle and bustle, but still in the heart. The rooms have run out of space, but the space replaces the shine. Good breakfast. Nice staff."
19,A short boat ride from the stalemate. Cleaner water than in front of the city and clearly more comfortable. Quite a nice day trip destination.
20,Here you can take a few hours to wander around the market. built entirely on water. You can also eat and drink here.
21,"Such a place is not to be found anywhere else. Everything you can imagine is on offer, THOUSANDS. Just the usual rice field stuff, professional marsupials, back hood and bats. There is a basket change and all the other gifts from side to side. And with Asian kindness. This place takes even the most shy of the boy / girl in the back room to the sighs of the sin before the light cat recounts. And don't want to get out of there. I ABSOLUTELY RECOMMEND."
22,Products for young artisans at affordable prices and free concerts. Lots of dishes also available.
23,"Really friendly, helpful and caring staff. Room spacious, clean and clean. Bathrobes, pool towels and sandals were a plus. There is a daily maid service and free refreshments in the fridge. The pool area is a pleasant and quiet whole. Breakfast rich and varied. Extrana fresh fruit. The hotel has its own free shuttle to the evening market. Near the hotel is a large shopping center with changing events in the yard. The sea is close. The hotel is well suited for adult travelers."
24,"The Italian type of food was good. Nice staff and drinks were also in taste. Daily ""happy hour""."
25,"A good place to have a stopover in Bangkok as I was travelling from Bali to Stockholm I decided to spend one night in Bangkok. The room is really spacious, equipped with minimal, TV, Ac and a balcony. Even though it is located close to the airport the rooms are quiet and I really appreciated the transfer from the airport to the hostel and back to the airport next morning! The restaurant has good Thai food."
26,"Room a little worn. Some items to repair in the bathroom. The hotel has its own shuttle bus, which runs several times a day to major shopping malls and the metro station. The hotel has a good gym and the opportunity to participate in yoga, for example. On the roof deck, a smaller pool area with a Finnish sauna. Staff matter-of-fact and friendly."
27,Good Thai food at an affordable price. Extensive menu. Nice staff. Cozy environment.
28,"I had a dinner in there with my friends and it was disappointment.Three people: We had ""US tacos"" - dont remember the exact name and there was just three very tiny Tacos (for each) and Few nachos with it. As an extra we had Guacamole (95B), sour cream (45b) and two beer, 3 water, 1 cola and a strawberry drink (non alcoholic).TOTAL: ~ 1.900Baht.The portion was quite smallFood was mostly tasteless. Even Salsa was not spicy.I cannot say, that it was bad, but I have eaten dozen of better Mexican restaurants and over 50€ for this kind of meal was way too much."
29,I love Subway and I have eat in 50? Different subways around a world. The quality is always the same and If i want western food i rather go there than to McDonalds.Like everywhere - there you can customize your sandwitch and I like to eat Sesami-Tuna-Southwest combo with cheese and different vedgetables.Same everywhere - like this one
30,"Sometimes I have a feeling, that i'd like to eat some western comfort food and this is one option for it.Ribs, wings, burgers. Quality is the same everywhere. Taste is awerage, but you get what you expect. Prices are a Little bit high, but sometimes its good alternative to have a couple of good cocktails and a burger"
31,I'v been there a couple of times. Its alternative for other Hamburger chains and the meat is more softer & bigger. Burgers are big and they like to use a lot of bacon.Its OK - rather this than burger king
32,"I have been there few times. Prices are high, but Plan Pizzas are good.Thai speciality is Sea food pizza with thousand island sauva instead of tomatoe sauce. I dont know, should I describe it more pie than pizza, but I like it :)Easy way to get extremely full with good standardi quality plan pizza"
33,"We had a dinner there with friends and we ate-chicken Khorma-Butter chicken-prawns-Butter naan-papadami-Mixed raitha-plus beveragesTOTAL : 1.800BFood was good and tasty. I had nothing to complain. It was not the best Indian, where I have been, but it was delicious and I will visit there again."
34,"Yes, I like a place like this where everything has to do with the name and the name itself. The market is for food lovers. It is full of food stalls with a variety of seafood available such as fish, shrimp, crabs, scallops. The seafood has just been cooked i.e. Wau ......."
35,"The operation of the hotel was not affected. We called 2 days earlier that we would be coming in the morning and asked if there was a possibility to get a room right from the morning. The phone reassured me that the thing was ok. When we arrived there was no room to go. We inquired that why they said on the phone that thing ok if there is no room. The Respan woman said the check in is at 2pm Yes we knew why we called and asked if it was ok if we came in the morning. We got the room a little after 12 because the men who came to us wanted 2 beds and then the respan woman shouted at them where it reads you want 2 beds. I don't think the service is very friendly. The hotel room was really small and I find it strange that the toilet door is glass, well not quite clear glass after all but still visible through. Everything worked in the room but a really small room. I hope Aunt’s aunt just had a bad day but didn’t leave me feeling like going back again."
36,Skytrain is a really convenient way to get around Bangkok. Nice and fast movement. Taxis and tuk logs often want to fund extra so I think Skytrain is the best option for getting around. Trains run frequently so you don’t have to wait long at the station either. The stations and trains are clean although there are really a lot of people on the trains in between.
37,"I have been to this hotel before but the last experience was bad. The first room did not have air conditioning or a refrigerator, and at first there was no television. The television was replaced immediately, but nothing else was interfered with. We went spinning nearby for about 3 hours and before we left we talked about the problems again. The staff kept the air conditioning on all the time but the room did not cool down at all. The water in the refrigerator also remained hot. After complaining, we got a change of room with air conditioning, but still the fridge kept the drinks warm. When changing the room, the hotel staff complained when we had used the towels. The towels were really old and worn. The next morning the ride to the airport left more than 15 minutes late. The ride was already leaving once and then it was decided to wait for the family that woke up late. The good thing is that the hotel is not far from the field, although in the mornings there is always a little traffic, you can get to the field relatively quickly, but now there was no time left for others. Anyway, I don’t think the staff wanted to take it seriously from our chosen very hot room."
38,"I have been there several times with my friends. They have a girl band (all players are girls) playing every night cover music.Good drinks and relaxing atmophere. I have been there many times, in many different year and I will go there again."
39,"We stayed here in january 2015 as well, and we loved the resort then. In two years it has turned very touristy, but luckily filled with families, (since I have a kid too), not party people. The woman, named Oi, in the reception is more than friendly, I really liked her a lot. You can see that she isn't trying, she just is what she is: loves talking with people, and helps everyone with a good heart. My 4-year old daughter liked her a lot too. I got stung by a jelly fish and Oi called a doctor without even asking me if i want to because she was worried, and they arrived in 5 minutes and took me to the hospital, because my foot was really swollen and the doctor said it might be the box one. Thanks to Oi who helped me. I survived. The rooms were new in 2015, so they were clean and cozy. Now, two years later, they are a bit dirty, there's ants in the bed and bugs everywhere, even if u keep the door closed all the time. You'll get used to it, but the ants where removed from our bed since I told Oi about it, and luckily we got completely rid of them for good. Both times we stayed here, we had a room upstairs with a balcony. First they put us in a room downstairs because they thought it's ""better for kids"" but it isn't, and the room/terrace is more lame there. Downstairs it's noisy since everyone is walking and chatting right in front of your door and there's no cozy hammock on the terrace. We moved upstairs directly after we'd seen the room downstairs, and it was more than okay for Oi. Upstairs it was more quite and the room was bigger, and you could see the ocean from the balcony (from the terrace you saw walls and tourists). I definitely recommend the second floor bungalows for everyone who appreciates privacy, even if the rooms downstairs looks good from outside and seem like a good idea first. (The wedding suites have small private pools outside but I don't think they're worth a visit.)Theres a big pool on the yard a few meters from the beach, for adults, and a smaller for children right next to it. The breakfast is included in the room cost and it's like a continental breakfast or more like a pick 'n' mix with what u like. If u want bacon it costs a little extra. A man waiter who's working at banana beach restaurant, is a bit too exited about kids. He doesn't mean anything bad but he just kisses all kids and make fun with them when they're eating breakfast, all the time and too much, so even my little daughter didn't laugh at him anymore. She thought it was weird when a stranger asked her to kiss him all the time, and didn't stop asking even if she said she doesn't want to. Even thoug the rooms are average in these days, the location of this resort is great. It's in the other end of the klong dao beach which is more private and quite than for eg in the middle, and located it's right on the beach. At night, there's an annoying reggaebar next to the resort where some really bad singers with a bad english accent sing in an echoing mic, and it's so loud it's almost like someone really smashed is singing karaoke in your bedroom, so I recommend ear plugs.Over all, we've always had a great stay here and from our 6-week thai vacay, a planned 3-days stay in banana beach turn out to be 2 weeks since we didn't wanna leave. Of your in lanta with kids, choose this one, it's the best. "
40,"We went to eat here a couple of times on our vacation and once we took a take away. Tasty Thai food at a good price. The first time we ended up here was because it was located opposite our hotel and burdened with a long flight and time difference, we couldn’t go any further to look for food on the first night - it was a good idea! Nothing to blame :)"
41,Madam Tussauds Wax Office is located in Siam Discovery Mall. Here you can take good pictures and close to celebrities. There were a lot of wax dolls. Siam BTS station was just a short walk away.
42,"The hotel was clean, quiet and affordable. The breakfast was varied and tasty. The room was on 7 floors with a window overlooking the street. the store was 50 meters away.The room was on a four star level indeed."
43,"The golden Buddha statue weighing 5,500 kilos in the holy temple is five meters high and is worth seeing. The temple also has information on the history of the statue. Shoes are not allowed to go to the temple."
44,"Adjacent to the Siam-Skytrain station, an American rib and pasta restaurant in the terminal 21 shopping center with very good food but slightly more expensive compared to the rest of Bangkok's price. Good service and clean place. Great street views from the restaurant."
45,An affordable and safe way to see the center of Bangkok.
46,A peaceful little island where the sun shines at full power directly above this is the dream place of a sun worshiper.Speed boat went directly to the shore of the island.
47,"We went to see what kind of pizza is available here when it was praised at the trip advisor, so it was worth visiting a good, clean and affordable café."
48,"We got to spend rainy days here in March. The zoo was almost empty due to the weather, although the small drops did not interfere with walking and the animals were well on display. The area is surprisingly clean. There are adequate toilets and the funniest thing is that there is a 7/11 inside the zoo."
49,"Booked this hotel for sauna and gym. The bathroom sauna room was not air-conditioned and the lockers were old and rusty IE. the locks didn't work at all. So you had to leave your stuff basically without any protection as the doors are not locked and anyone can basically walk in. Sauna itself was pretty much OK, there was enough heat (if you heat it up first) but the scoop for throwing water on the sauna stove was really poor and didn't work well (totally nonfunctional, get a new proper one!). One time the guard switch the sauna off after I just had turned it on and started training in the gym. Gym is pretty large and clean and has free hand weights up to 15 kg if remember correct (might be up to 20kg too). There's not mattresses available in the gym so you can't even do yoga. Other than that it's not that diverse set of machines (could use couple more). Better room class rooms are way better than the basic rooms especially without windows. Basic rooms have pretty horrible shower closets where you really have to fear the floor to break... There is tuktuk service available but never really got to use it as the driver was ""always on the lunch break"" when I did exit the building (usually about 12-1 pm). WTF there was 3 dudes waiting and sitting doing nothing and nobody of them could drive the tuktuk? Elevators have lots of tacky looking signs prohibiting you from doing certain things. Rooms have huge cockroachs infestations so if that is a problem for you better to stay away. Also it's pity that they have removed the washing machines from deluxe rooms (suites should still have em). Washing machines used to be the reason for booking this hotel for so many times. "
50,I have coming to this restaurant for over 15 years. Food is always good and price are cheap. Local deserts sticky rice with mango is so good.
51,The view is amazing. One of best what Phuket offer. The old Rastafar spirit is gone now the plays is so expensive. Recommend to drinks only and look amazing view.
52,"I have been there few times during last 5? Years. The food is good, but expensive to comparing other places nearby. I complain the ""Rush"" they have in there. You can go, eat and go. The way how they serve is extremely fast - in a same second (or before) you end up your starter, maincourse is on a table.I gonna visit there again, but it is not a place for a lazy evening to take few with friends or romantiikan dinner."
53,I have been there few times. Once for a dinner and few times for a drinks.Firstly: the view is amazing.Food is good and expensive - like you can expect in this place.This is one of rare restaurants in Pattaya - where you can have real Mojitos and cocktails. Definitely worth to visit.
54,"Robinsons was over 10 years ago the department store in Phuket, but now it is old sad place, full of nothing and the price are still very high. I do not recommend."
55,You will fine small shops in small streets. Lot of the old charm and history of colonialists time. My favourite part of phuket. Traffic is very challenging but I always love that aspect also because it is real.
56,Wat Chalong is a old and big temple in Chalong. Place is big and beautiful. Remember the local culture and respect.
57,Biggest in phuket and in few years they will grow even bigger. Now is very hard to fine a car parking place. Lot of shop and restaurants. Big minus no free wifi for tourist.
58,"Been in Fuji restaurant many time. Sushi is good but amazing, rice is tasty and not mushy, fish taste fresh. Service is typically thai style, dishes come when it was ready one by one and in between you have to wait long time."
59,"I remember the first time I was in the restaurant it was before the millennium, and the restaurant is still up running. Food is still solid and the price is low. To get there is always difficult if you don't have motorbike or car because it is in Phuket town."
60,"Great location next to Hualampho,  7/11 and many places to eat. Rooms are clean, with ac, clean bathroom and minibar. Great place to stay over night.No elevator, so it`s possible you need to carry your bags 5 floors up."
61,Service is friendly and the restaurant is clean. Price of food is a bit higher than normal but they use at least two time more meat or seafood portion. Taste of the food is ok.
